Year,Electricity consumption (GWh) - 4% yearly increment
2021,4651.16226530349
2022,4883.720378568664
2023,5127.906397497098
2024,5384.301717371953
2025,5653.51680324055
2026,5936.192643402577
2027,6233.002275572706
2028,6544.652389351341
2029,6871.885008818908
2030,7215.479259259853
2031,7576.253222222846
2032,7955.065883333988
2033,8352.819177500687
2034,8770.460136375721
2035,9208.983143194508
2036,9669.432300354232
2037,10152.903915371944
2038,10660.54911114054
2039,11193.576566697568
2040,11753.255395032444
