Year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1
2021,53.022589788461126,97.44576023846972,0.54531017320821,13970.094777430557,3.3470588906405228,291.86173480368814,2.326393807945874,4651.16226530349,9.04405606814153,82.75026546669281,88.65727777842274,78112752.78011145,4.2040340093394954,12.187521969307268,34.590131644198514,4379.219867983585
2022,55.67371927788418,98.46881633377109,0.5595610539972992,14668.599516302085,3.4609526151682477,300.73167675789546,2.2972268925896255,4883.720378568664,9.083251779641301,82.66175968968578,88.65779707966136,79886950.64814296,4.1915863043225885,12.79689806777263,34.30820654444021,4543.513440795058
2023,58.45740524177839,99.50261321216627,0.5741843606336269,15402.02949211719,3.578721915510629,309.87118426623044,2.268425654337783,5127.906397497098,9.122617360034896,82.57334857427917,88.65831638394175,81701446.39280659,4.179175455658376,13.436742971161262,34.028579260795794,4713.970754839189
2024,61.38027550386731,100.5472636381674,0.5891898259199401,16172.130966723049,3.7004986697668105,319.2884496695615,2.2399855085524774,5384.301717371953,9.162153545511046,82.48503201922739,88.6588356912639,83557155.31159553,4.166801354219052,14.108580119719326,33.7512310650325,4890.823052917097
2025,64.44928927906068,101.60288156017003,0.6045874370114965,16980.7375150592,3.8264192435840756,328.99191428140165,2.211901928075249,5653.51680324055,9.201861075449022,82.39680992339315,88.65935500162784,85455013.49142346,4.154463891199927,14.814009125705292,33.47614338156105,5074.310253280584
2026,67.67175374301371,102.66958212288245,0.6203874420631942,17829.774390812163,3.95662464286014,338.99027595441225,2.1841704425064075,5936.192643402577,9.241740692432467,82.30868218574733,88.6598743150336,87395978.2808207,4.142162958118472,15.554709581990556,33.20329778619157,5264.68127510581
2027,71.05534143016439,103.74748167988537,0.6366003570504135,18721.26311035277,4.0912606716416,349.2924968768597,2.156786637493423,6233.002275572706,9.281793142263279,82.22064870536887,88.66039363148118,89381028.7728556,4.12989844681336,16.332445061090084,32.9326760048996,5462.194376177637
2028,74.6081085016726,104.83669780632358,0.6532369727681129,19657.326265870408,4.230478095395352,359.9078116060132,2.1297461540282425,6544.652389351341,9.32201917397556,82.13270938144466,88.66091295097061,91411166.29902457,4.117670249443522,17.149067314144588,32.66425991260217,5667.117503242773
2029,78.33851392675624,105.93734931173084,0.6703083620128345,20640.19257916393,4.374432809835803,370.8457353456852,2.1030446877534135,6871.885008818908,9.362419539849625,82.04486411326938,88.6614322735019,93487414.93436004,4.105478258487193,18.006520679851818,32.39803153194389,5879.728655506956
2030,82.25543962309405,107.04955625298933,0.6878258869524018,21672.202208122126,4.523286015496949,382.1160724753335,2.076677988276908,7215.479259259853,9.402994995426072,81.95711280024545,88.66195159907507,95610822.01401107,4.09332236674097,18.90684671384441,32.13397303209288,6100.316261769356
2031,86.36821160424876,108.17343994742525,0.7058012066882131,22755.81231852823,4.677204398244775,393.7289253383703,2.0506418584955366,7576.253222222846,9.443746299519905,81.86945534188288,88.66247092769014,97782458.66155718,4.081202467318866,19.85218904953663,31.87206672754654,6329.1795717057685
2032,90.6866221844612,109.30912298604186,0.7242462850151649,23893.602934454644,4.836360315932142,405.6947032975564,2.024932153926846,7955.065883333988,9.484674214234733,81.78189163779915,88.66299025934713,100003420.32932197,4.069118453651374,20.84479850201346,31.612295076947053,6566.629061831445
2033,95.22095329368426,110.45672924689146,0.7431733983843685,25088.283081177375,5.000931991405166,418.0241320655965,1.9995447820493912,8352.819177500687,9.525779504977017,81.6944215877191,88.66350959404605,102274827.350959,4.057070219484528,21.887038427114135,31.35464068190655,6812.986856694279
2034,99.98200095836847,111.61638390858779,0.7625951440739618,26342.697235236243,5.171103712077218,430.7282633193003,1.97447570165128,8770.460136375721,9.567062940470384,81.60704509147486,88.66402893178692,104597825.50658877,4.045057658878969,22.98139034846984,31.099086285841828,7068.587165869737
2035,104.98110100628689,112.78821346396026,0.7825244485734524,27659.832096998056,5.34706603629402,443.81848460592596,1.9497209221868856,9208.983143194508,9.608525292770008,81.51976204900564,88.66454827256976,106973586.60077175,4.033080666209012,24.130459865893332,30.845614772818585,7333.776737350377
2036,110.23015605660123,113.9723457338515,0.8029745761871732,29042.82370184796,5.529016006720947,457.3065295505868,1.9252765031416237,9669.432300354232,9.650167337277043,81.4325723603577,88.6650676163946,109403309.05360916,4.021139136161722,25.336982859187998,30.594209166405065,7608.915327944998
2037,115.7416638594313,115.16890988105982,0.823959137862577,30494.964886940357,5.717157370991459,471.20448837387016,1.9011385534046923,10152.903915371944,9.691989852753128,81.3454759256842,88.66558696326143,111888218.50526951,4.009232963735979,26.6038320021474,30.344852628535055,7894.3761913255985
2038,121.52874705240286,116.37803642442807,0.845492100249246,32019.713131287375,5.911700809863771,485.52481872909624,1.8773032306496784,10660.54911114054,9.733993621334948,81.25847264524509,88.66610631317029,114429568.434246,3.9973620442415654,27.93402360225477,30.097528458380133,8190.546584384196
2039,127.60518440502301,117.59985725308033,0.867587794994644,33620.69878785175,6.112864173141225,500.2803568689309,1.8537667407229286,11193.576566697568,9.776179428548863,81.17156241940701,88.66662566612118,117028640.78965655,3.9855262732982384,29.330724782367508,29.852220091231132,8497.82829258646
2040,133.98544362527417,118.83450564080812,0.8902609282828006,35301.73372724433,6.320872723620572,515.4843291513621,1.8305253370395878,11753.255395032445,9.818548063325599,81.08474514864314,88.66714502211413,119686746.63790545,3.973725546834814,30.797261021485884,29.6089110973887,8816.638175034841
