Year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1
1971,0.0,0.0,0.256769546311727,1353.123,1.0896456034421,73.845480611003,14.9606299212598,324.0000000000001,0.0,90.2887139107612,90.2887139107612,37000000.0,0.0,0.0,0.0,4429.678347908086
1972,0.0,0.0,0.25967764757117,1455.799,1.15571431179857,74.7309299600941,15.5,337.9999999999999,0.0,90.5,90.5,38000000.0,0.0,0.0,0.0,324.0000000000001
1973,0.0,0.0,0.293045688555788,1551.141,1.1760833237294,80.2450262566446,15.3846153846154,374.0,0.0,91.4027149321267,91.4027149321267,38000000.0,0.0,0.0,0.0,337.9999999999999
1974,0.0,0.0,0.335749516302863,1851.835,1.36639663417373,79.8384553280912,14.8888888888889,382.99999999999983,0.0,91.3333333333333,91.3333333333333,39000000.0,0.0,0.0,0.0,374.0
1975,0.0,0.0,0.435255393354428,2581.568,1.85992332836454,83.1668981140587,14.4050104384134,409.99999999999983,0.0,91.8580375782881,91.8580375782881,39000000.0,0.0,0.0,0.0,382.99999999999983
1976,0.0,0.0,0.274730718968835,1774.828,1.25132229994881,86.6061425505469,14.6198830409357,437.99999999999983,0.0,92.3976608187134,92.3976608187134,39000000.0,0.0,0.0,0.0,409.99999999999983
1977,0.0,0.0,0.356963776987901,2244.204,1.54306046885797,91.8650417619252,16.0493827160494,476.00000000000006,0.0,92.9453262786596,92.9453262786596,40000000.0,0.0,0.0,0.0,437.99999999999983
1978,0.0,0.0,0.435423924944023,2629.239,1.80353416662894,97.424359971892,16.6129032258065,516.9999999999998,0.0,93.5483870967742,93.5483870967742,40000000.0,0.0,0.0,0.0,476.00000000000006
1979,0.0,0.0,0.448930380897453,2900.597,1.90309031060571,102.223433214453,17.7514792899408,556.000000000002,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,516.9999999999998
1980,0.0,0.0,0.536500409999716,3351.638,2.14728286844422,102.988179643625,14.9408284023669,574.9999999999997,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,556.000000000002
1981,0.0,0.0,0.50223482183496,3296.633,2.12703839676876,106.089354760712,14.586255259467,609.0000000000006,0.0,94.3899018232819,94.3899018232819,40000000.0,0.0,0.0,0.0,574.9999999999997
1982,0.0,0.0,0.431518986856473,3054.611,1.98973608375283,95.9433233853475,16.0,567.0000000000001,0.0,93.7777777777778,93.7777777777778,42000000.0,0.0,0.0,0.0,609.0000000000006
1983,0.0,0.0,0.392871411558546,2632.906,1.71121153292461,105.426128470113,14.2857142857143,642.000000000003,0.0,94.392523364486,94.392523364486,42000000.0,0.0,0.0,0.0,567.0000000000001
1984,0.0,0.0,0.475731759748394,3307.634,2.04264335440634,109.917698724827,14.4981412639405,689.9999999999984,0.0,94.7955390334573,94.7955390334573,42000000.0,0.0,0.0,0.0,642.000000000003
1985,0.0,0.0,0.372775743450038,2676.91,1.71519830845134,104.151745074851,16.0647571606476,674.0000000000002,0.0,94.7696139476961,94.7696139476961,42000000.0,0.0,0.0,0.0,689.9999999999984
1986,0.0,0.0,0.359539452084344,2662.242,1.63020790915754,101.639072458015,15.3558052434457,677.9999999999997,0.0,94.7565543071161,94.7565543071161,42000000.0,0.0,0.0,0.0,674.0000000000002
1987,0.0,0.0,0.312279655997998,2453.223,1.40951268503559,103.406840907921,17.8034682080925,711.0000000000015,0.0,94.9132947976879,95.028901734104,43000000.0,0.0,0.0,0.0,677.9999999999997
1988,0.0,0.0,0.351236563268283,2742.916,1.65730599470105,104.563144074043,16.8350168350168,741.0000000000031,0.0,92.2558922558923,95.1739618406285,43000000.0,0.0,0.0,0.0,711.0000000000015
1989,0.0,0.0,0.455216289849686,3696.336,2.24721767942366,100.636446796797,20.1954397394137,735.0000000000025,0.0,92.1824104234528,95.3311617806732,43000000.0,0.0,0.0,0.0,741.0000000000031
1990,0.0,0.0,0.394658266964991,3182.956,1.88743094741686,103.636484666384,17.4603174603175,779.9999999999985,0.0,93.015873015873,95.3439153439153,44000000.0,5.04207757414802,0.0,55.5510111313875,735.0000000000025
1991,0.0,0.0,0.41408359110681,3424.978,2.04645635134505,102.636891309079,17.8534571723426,795.999999999997,0.0,93.7048503611971,95.4592363261094,44000000.0,4.87915848889042,0.0,55.2735459856467,779.9999999999985
1992,0.0,0.0,0.415569690607453,3479.983,1.95612909390871,109.260264207088,17.0152091254753,872.999999999997,0.0,94.7718631178707,95.722433460076,45000000.0,5.12278044353619,0.0,53.6618832628227,795.999999999997
1993,4.87466167299289,58.6,0.423634125527473,3593.66,2.02691871873532,104.41534698958,17.1648987463838,858.9999999999972,0.0,90.9353905496625,95.6605593056895,45000000.0,5.03980802905729,0.0,55.0853366292708,872.999999999997
1994,2.06041121315313,66.1726684570313,0.460025338222648,3901.688,2.21568228822982,110.033390583789,12.9906542056075,930.9999999999984,0.0,89.3457943925234,95.7943925233645,45000000.0,5.00649351164901,0.0,54.7505208242093,858.9999999999972
1995,3.89369926850349,67.2896728515625,0.391059597564919,3494.651,1.87397330058692,109.318995590877,16.0777385159011,949.999999999998,0.0,80.1236749116608,95.9363957597173,46000000.0,5.0319803953226,0.0,53.1778586573874,930.9999999999984
1996,5.7446325073604,68.3894805908203,0.410297079123556,3740.34,1.95843059146558,110.06566802736,18.4538653366584,981.000000000004,0.0,82.3773898586866,96.0931005818786,47000000.0,5.05184051316062,0.0,52.4673729314296,949.999999999998
1997,7.84425287953184,68.9,0.347158952905957,3263.63,1.61157602252117,117.513356055503,16.8861347792409,1073.000000000003,0.0,89.2331525948877,96.281951975213,48000000.0,5.19441881476755,0.0,50.672000836312,981.000000000004
1998,9.51745628395509,70.5222702026367,0.344397077737045,3428.645,1.60340158355223,122.168122592609,15.6573116691285,1142.000000000003,0.0,90.6203840472674,96.3810930576071,49000000.0,5.1793652675167,0.0,48.0235663932171,1073.000000000003
1999,11.6195222574929,72.8,0.349472733588007,3700.003,1.64125881787764,118.302109727924,19.0271816881259,1132.0000000000005,0.0,94.7782546494993,96.4234620886981,50000000.0,5.13385553552597,0.0,45.8454492538932,1142.000000000003
