Year,"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1
1971,9.8,1339.54882366855,305.307489770704,0.0,40.757,0.0,0.0,4.38754,3039688.0,0.0,38.8340682983398,0.0,0.0,12.9236001968384,30.72,4429.678347908086
1972,15.2,1620.85727719338,358.367371767004,0.0,41.534,0.0,0.0,4.522893,3100398.0,0.0,38.6303787231445,0.0,0.0,13.7858896255493,31.451,324.0000000000001
1973,4.9,1863.39844832592,399.808709659103,0.0,42.45,0.0,0.0,4.660725,3160484.0,0.0,39.167911529541,0.0,0.0,14.004733085632315,32.189,337.9999999999999
1974,10.2615376105481,2099.32494984605,437.615825659089,0.0,43.483,0.0,0.0,4.797187,3217138.0,0.0,39.7968215942383,0.0,0.0,14.223576545715334,32.937,374.0
1975,22.5371407521894,2830.38840487845,574.133229492047,0.0,44.6,0.0,0.0,4.929846,3268833.0,0.0,40.0835609436035,0.0,0.0,14.44242000579835,33.693,382.99999999999983
1976,35.865169587897505,2869.77781241008,567.443804360695,0.0,45.761,0.0,0.0,5.057378,3319056.0,0.0,39.6292915344238,0.0,0.0,14.661263465881367,34.372,409.99999999999983
1977,27.9632398429421,2938.04630722894,567.024677966506,0.0,46.929,0.0,0.0,5.181514,3382596.0,0.0,42.4107818603516,0.0,0.0,14.880106925964384,34.718,437.99999999999983
1978,5.00762532304027,3280.35433939341,618.155555118805,0.0,48.074,0.0,0.0,5.306681,3445787.0,0.0,40.9492492675781,24.8883,36.61892,15.0989503860474,35.067,476.00000000000006
1979,8.93186025610297,4084.87866785616,751.025758440173,0.0,49.174,0.0,0.0,5.439066,3512712.0,1.0273300409317,42.1765785217285,27.04413,39.61145,14.1977195739746,35.417,516.9999999999998
1980,14.4831807980368,4435.05039667262,794.361333880088,0.0,50.234,0.0,0.0,5.583165,3586123.0,1.08973002433777,43.1518783569336,28.08905,40.93641,14.3774995803833,35.769,556.000000000002
