Year,Agricultural land (sq. km),Cereal yield (kg per hectare),Forest area (% of land area),Permanent cropland (% of land area),"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1_x,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1_y
1971,89460.0,655.7,0.0,0.0882979275956994,9.8,1339.54882366855,305.307489770704,0.0,40.757,0.0,0.0,4.38754,3039688.0,0.0,38.8340682983398,0.0,0.0,12.9236001968384,30.72,4429.678347908086,0.0,0.0,0.256769546311727,1353.123,1.0896456034421,73.845480611003,14.9606299212598,324.0000000000001,0.0,90.2887139107612,90.2887139107612,37000000.0,0.0,0.0,0.0,4429.678347908086
1972,89460.0,370.9,0.0,0.0882979275956994,15.2,1620.85727719338,358.367371767004,0.0,41.534,0.0,0.0,4.522893,3100398.0,0.0,38.6303787231445,0.0,0.0,13.7858896255493,31.451,324.0000000000001,0.0,0.0,0.25967764757117,1455.799,1.15571431179857,74.7309299600941,15.5,337.9999999999999,0.0,90.5,90.5,38000000.0,0.0,0.0,0.0,324.0000000000001
1973,89960.0,508.0,0.0,0.0882979275956994,4.9,1863.39844832592,399.808709659103,0.0,42.45,0.0,0.0,4.660725,3160484.0,0.0,39.167911529541,0.0,0.0,14.004733085632315,32.189,337.9999999999999,0.0,0.0,0.293045688555788,1551.141,1.1760833237294,80.2450262566446,15.3846153846154,374.0,0.0,91.4027149321267,91.4027149321267,38000000.0,0.0,0.0,0.0,337.9999999999999
1974,90460.0,740.5,0.0,0.0882979275956994,10.2615376105481,2099.32494984605,437.615825659089,0.0,43.483,0.0,0.0,4.797187,3217138.0,0.0,39.7968215942383,0.0,0.0,14.223576545715334,32.937,374.0,0.0,0.0,0.335749516302863,1851.835,1.36639663417373,79.8384553280912,14.8888888888889,382.99999999999983,0.0,91.3333333333333,91.3333333333333,39000000.0,0.0,0.0,0.0,374.0
1975,90460.0,708.2,0.0,0.0934919233366229,22.5371407521894,2830.38840487845,574.133229492047,0.0,44.6,0.0,0.0,4.929846,3268833.0,0.0,40.0835609436035,0.0,0.0,14.44242000579835,33.693,382.99999999999983,0.0,0.0,0.435255393354428,2581.568,1.85992332836454,83.1668981140587,14.4050104384134,409.99999999999983,0.0,91.8580375782881,91.8580375782881,39000000.0,0.0,0.0,0.0,382.99999999999983
1976,90450.0,706.8,0.0,0.0986859190775464,35.865169587897505,2869.77781241008,567.443804360695,0.0,45.761,0.0,0.0,5.057378,3319056.0,0.0,39.6292915344238,0.0,0.0,14.661263465881367,34.372,409.99999999999983,0.0,0.0,0.274730718968835,1774.828,1.25132229994881,86.6061425505469,14.6198830409357,437.99999999999983,0.0,92.3976608187134,92.3976608187134,39000000.0,0.0,0.0,0.0,409.99999999999983
1977,88440.0,508.1,0.0,0.10387991481847,27.9632398429421,2938.04630722894,567.024677966506,0.0,46.929,0.0,0.0,5.181514,3382596.0,0.0,42.4107818603516,0.0,0.0,14.880106925964384,34.718,437.99999999999983,0.0,0.0,0.356963776987901,2244.204,1.54306046885797,91.8650417619252,16.0493827160494,476.00000000000006,0.0,92.9453262786596,92.9453262786596,40000000.0,0.0,0.0,0.0,437.99999999999983
1978,88430.0,833.2,0.0,0.10387991481847,5.00762532304027,3280.35433939341,618.155555118805,0.0,48.074,0.0,0.0,5.306681,3445787.0,0.0,40.9492492675781,24.8883,36.61892,15.0989503860474,35.067,476.00000000000006,0.0,0.0,0.435423924944023,2629.239,1.80353416662894,97.424359971892,16.6129032258065,516.9999999999998,0.0,93.5483870967742,93.5483870967742,40000000.0,0.0,0.0,0.0,476.00000000000006
1979,88420.0,616.8,0.0,0.10387991481847,8.93186025610297,4084.87866785616,751.025758440173,0.0,49.174,0.0,0.0,5.439066,3512712.0,1.0273300409317,42.1765785217285,27.04413,39.61145,14.1977195739746,35.417,516.9999999999998,0.0,0.0,0.448930380897453,2900.597,1.90309031060571,102.223433214453,17.7514792899408,556.000000000002,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,516.9999999999998
1980,88410.0,547.4,0.0,0.10387991481847,14.4831807980368,4435.05039667262,794.361333880088,0.0,50.234,0.0,0.0,5.583165,3586123.0,1.08973002433777,43.1518783569336,28.08905,40.93641,14.3774995803833,35.769,556.000000000002,0.0,0.0,0.536500409999716,3351.638,2.14728286844422,102.988179643625,14.9408284023669,574.9999999999997,0.0,94.0828402366864,94.0828402366864,40000000.0,0.0,0.0,0.0,556.000000000002
1981,88400.0,904.7,0.0,0.10387991481847,34.3721711724562,4021.6972333940303,700.589925342714,0.0,51.272,0.0,0.0,5.740444,3666881.0,1.46382999420166,44.6970291137695,29.08685,42.61276,15.0628499984741,36.122,574.9999999999997,0.0,0.0,0.50223482183496,3296.633,2.12703839676876,106.089354760712,14.586255259467,609.0000000000006,0.0,94.3899018232819,94.3899018232819,40000000.0,0.0,0.0,0.0,574.9999999999997
1982,88390.0,684.3,0.0,0.109073910559393,28.0578958077396,3936.7586815834297,666.14763893692,0.0,52.313,0.0,0.0,5.909739,3754103.0,1.4222799539566,46.4694595336914,30.51298,44.76404,15.6809797286987,36.476,609.0000000000006,0.0,0.0,0.431518986856473,3054.611,1.98973608375283,95.9433233853475,16.0,567.0000000000001,0.0,93.7777777777778,93.7777777777778,42000000.0,0.0,0.0,0.0,609.0000000000006
1983,88380.0,573.3,0.0,0.114267906300317,34.692149785675504,3512.05323203566,576.732360178295,0.0,53.362,0.0,0.0,6.089572,3846661.0,1.47748994827271,49.0120811462402,32.19517,47.07933,16.2263202667236,36.832,567.0000000000001,0.0,0.0,0.392871411558546,2632.906,1.71121153292461,105.426128470113,14.2857142857143,642.000000000003,0.0,94.392523364486,94.392523364486,42000000.0,0.0,0.0,0.0,567.0000000000001
1984,88370.0,612.1,0.0,0.11946190204124,29.087552599932906,3425.1273733671296,545.626259014387,0.0,54.404,0.0,0.0,6.277424,3942787.0,1.46895003318787,50.7433700561523,33.05545,47.92365,16.2373294830322,37.191,642.000000000003,0.0,0.0,0.475731759748394,3307.634,2.04264335440634,109.917698724827,14.4981412639405,689.9999999999984,0.0,94.7955390334573,94.7955390334573,42000000.0,0.0,0.0,0.0,642.000000000003
