Year,Electricity consumption (GWh) - from 1990 to 2020,Electricity consumption (GWh) - 4% yearly increase,Electricity consumption (GWh) - Polyfit [4th order]
1990,779.9999999999985,,
1991,795.999999999997,,
1992,872.999999999997,,
1993,858.9999999999972,,
1994,930.9999999999984,,
1995,949.999999999998,,
1996,981.000000000004,,
1997,1073.000000000003,,
1998,1142.000000000003,,
1999,1132.0000000000005,,
2000,1004.9999999999956,,
2001,1249.9999999999968,,
2002,1514.9999999999975,,
2003,1343.9999999999973,,
2004,1516.9999999999957,,
2005,1777.000000000005,,
2006,1816.000000000003,,
2007,2151.000000000005,,
2008,1931.999999999996,,
2009,2372.999999999997,,
2010,2572.0,,
2011,2656.0000000000027,,
2012,2887.9999999999995,,
2013,2967.999999999999,,
2014,3250.9999999999964,,
2015,3470.83333333333,,
2016,3653.805555555552,,
2017,3834.106481481477,,
2018,4030.4575617283895,,
2019,4220.867155349788,,
2020,4429.678347908086,,
2021,,4651.16226530349,5416.271732330322
2022,,4883.720378568664,5807.778938293457
2023,,5127.906397497098,6222.604196548462
2024,,5384.301717371953,6661.607306480408
2025,,5653.51680324055,7125.660656929016
2026,,5936.192643402577,7615.649207115173
2027,,6233.002275572706,8132.470484733581
2028,,6544.652389351341,8677.034601211548
2029,,6871.885008818908,9250.264253616331
2030,,7215.479259259853,9853.09469127655
2031,,7576.253222222846,10486.473759651184
2032,,7955.065883333988,11151.36187171936
2033,,8352.819177500687,11848.732006072998
2034,,8770.460136375721,12579.569745063782
2035,,9208.983143194508,13344.873216629028
2036,,9669.432300354232,14145.653135299684
2037,,10152.903915371944,14982.932807922363
2038,,10660.54911114054,15857.748085021973
2039,,11193.576566697568,16771.147418022156
2040,,11753.255395032445,17724.191835403442
2041,,12340.918164784067,18717.95491218567
2042,,12957.96407302327,19753.52282810211
