,Year,Electric power consumption (kWh per capita),"Life expectancy at birth, female (years)",x,y
0,1971,73.845480611003,40.757,103.0,59.0
1,1972,74.7309299600941,41.534,,
2,1973,80.2450262566446,42.45,,
3,1974,79.8384553280912,43.483,,
4,1975,83.1668981140587,44.6,,
5,1976,86.6061425505469,45.761,,
6,1977,91.8650417619252,46.929,,
7,1978,97.424359971892,48.074,,
8,1979,102.223433214453,49.174,,
9,1980,102.988179643625,50.234,,
10,1981,106.089354760712,51.272,,
11,1982,95.9433233853475,52.313,,
12,1983,105.426128470113,53.362,,
13,1984,109.917698724827,54.404,,
14,1985,104.151745074851,55.41,,
15,1986,101.639072458015,56.343,,
16,1987,103.406840907921,57.171,,
17,1988,104.563144074043,57.868,,
18,1989,100.636446796797,58.422,,
19,1990,103.636484666384,58.817,,
20,1991,102.636891309079,59.048,,
21,1992,109.260264207088,59.14,,
22,1993,104.41534698958,59.134,,
23,1994,110.033390583789,59.063,,
24,1995,109.318995590877,58.97,,
25,1996,110.06566802736,58.896,,
26,1997,117.513356055503,58.874,,
27,1998,122.168122592609,58.931,,
28,1999,118.302109727924,59.091,,
29,2000,102.574738199669,59.368,,
30,2001,124.550323511992,59.764,,
31,2002,147.320531260201,60.253,,
32,2003,127.496486020399,60.812,,
33,2004,140.331947497535,61.428,,
34,2005,160.232769431808,62.094,,
35,2006,159.546410258483,62.806,,
36,2007,184.049394716217,63.554,,
37,2008,160.936952948682,64.322,,
38,2009,192.378098114289,65.088,,
39,2010,202.868747075677,65.829,,
40,2011,203.777729135052,66.521,,
41,2012,215.490370050241,67.152,,
42,2013,215.346796861509,67.717,,
