Year,Electricity consumption (GWh) - Polyfit [4th order]
2022,5807.778938293457
2023,6222.604196548462
2024,6661.607306480408
2025,7125.660656929016
2026,7615.649207115173
2027,8132.4704847335815
2028,8677.034601211548
2029,9250.264253616333
2030,9853.09469127655
2031,10486.473759651184
2032,11151.36187171936
2033,11848.732006072998
2034,12579.569745063782
2035,13344.873216629028
2036,14145.653135299683
2037,14982.932807922363
2038,15857.748085021973
2039,16771.147418022156
2040,17724.191835403442
2041,18717.95491218567
2042,19753.52282810211
